"Medal_Type","Medal_Date","Full_Name","Sports","Event","Country","Code","Gender","Height","Weight","Birth_Date"
"Silver Medal",2024-08-06,"Yasmani ACOSTA FERNANDEZ","Wrestling","Men's Greco-Roman 130kg","Chile",1935199,"Male",0,0,1988-07-16
"Bronze Medal",2024-08-06,"Amin MIRZAZADEH","Wrestling","Men's Greco-Roman 130kg","IR Iran",1544882,"Male",0,0,1998-01-08
"Bronze Medal",2024-08-06,"MENG Lingzhe","Wrestling","Men's Greco-Roman 130kg","China",1919983,"Male",0,0,1998-04-16
"Gold Medal",2024-08-06,"FUMITA Kenichiro","Wrestling","Men's Greco-Roman 60kg","Japan",1939713,"Male",0,0,1995-12-18
"Silver Medal",2024-08-06,"CAO Liguo","Wrestling","Men's Greco-Roman 60kg","China",1919973,"Male",0,0,1998-10-04
"Bronze Medal",2024-08-06,"Zholaman SHARSHENBEKOV","Wrestling","Men's Greco-Roman 60kg","Kyrgyzstan",1566631,"Male",0,0,1999-09-29
"Bronze Medal",2024-08-06,"RI Se Ung","Wrestling","Men's Greco-Roman 60kg","DPR Korea",1980153,"Male",0,0,1998-12-22
"Gold Medal",2024-08-06,"Amit ELOR","Wrestling","Women's Freestyle 68kg","United States",1955304,"Female",0,0,2004-01-01
"Silver Medal",2024-08-06,"Meerim ZHUMANAZAROVA","Wrestling","Women's Freestyle 68kg","Kyrgyzstan",1568241,"Female",0,0,1999-11-09
"Bronze Medal",2024-08-06,"Buse CAVUSOGLU TOSUN","Wrestling","Women's Freestyle 68kg","Türkiye",1570415,"Female",0,0,1995-12-05
"Bronze Medal",2024-08-06,"OZAKI Nonoka","Wrestling","Women's Freestyle 68kg","Japan",1939709,"Female",0,0,2003-03-23
"Gold Medal",2024-08-07,"Soufiane EL BAKKALI","Athletics","Men's 3000m Steeplechase","Morocco",1555372,"Male",196,0,1996-01-07
"Silver Medal",2024-08-07,"Kenneth ROOKS","Athletics","Men's 3000m Steeplechase","United States",1965896,"Male",180,0,1999-10-21
"Bronze Medal",2024-08-07,"Abraham KIBIWOT","Athletics","Men's 3000m Steeplechase","Kenya",1910445,"Male",173,0,1996-04-06
"Gold Medal",2024-08-07,"Quincy HALL","Athletics","Men's 400m","United States",1960177,"Male",187,0,1998-07-31
"Silver Medal",2024-08-07,"Matthew HUDSON-SMITH","Athletics","Men's 400m","Great Britain",1924430,"Male",187,0,1994-10-26
"Bronze Medal",2024-08-07,"Muzala SAMUKONGA","Athletics","Men's 400m","Zambia",1937531,"Male",188,0,2002-12-09
"Gold Medal",2024-08-07,"Roje STONA","Athletics","Men's Discus Throw","Jamaica",1912322,"Male",200,0,1999-02-26
"Silver Medal",2024-08-07,"Mykolas ALEKNA","Athletics","Men's Discus Throw","Lithuania",1922593,"Male",195,0,2002-09-28
"Bronze Medal",2024-08-07,"Matthew DENNY","Athletics","Men's Discus Throw","Australia",1939824,"Male",195,0,1996-06-02
"Gold Medal",2024-08-07,"Nina KENNEDY","Athletics","Women's Pole Vault","Australia",1939839,"Female",167,0,1997-04-05
"Silver Medal",2024-08-07,"Katie MOON","Athletics","Women's Pole Vault","United States",1965268,"Female",173,0,1991-06-13
"Bronze Medal",2024-08-07,"Alysha NEWMAN","Athletics","Women's Pole Vault","Canada",1974216,"Female",175,0,1994-06-29
"Bronze Medal",2024-08-07,"Nelvie Raman TIAFACK","Boxing","Men's +92kg","Germany",1895903,"Male",189,0,1999-01-03
"Bronze Medal",2024-08-07,"Djamili-Dini ABOUDOU MOINDZE","Boxing","Men's +92kg","France",1879120,"Male",181,0,1996-02-16
"Gold Medal",2024-08-07,"Erislandy ALVAREZ BORGES","Boxing","Men's 63.5kg","Cuba",1555537,"Male",168,0,2000-07-14
"Silver Medal",2024-08-07,"Sofiane OUMIHA","Boxing","Men's 63.5kg","France",1879111,"Male",178,0,1994-12-23
"Gold Medal",2024-08-07,"Oleksandr KHYZHNIAK","Boxing","Men's 80kg","Ukraine",1564362,"Male",181,0,1995-08-03
"Silver Medal",2024-08-07,"Nurbek ORALBAY","Boxing","Men's 80kg","Kazakhstan",1932824,"Male",187,0,2000-06-11
"Bronze Medal",2024-08-07,"Esra YILDIZ KAHRAMAN","Boxing","Women's 57kg","Türkiye",1568204,"Female",168,0,1997-07-04
"Bronze Medal",2024-08-07,"Nesthy PETECIO","Boxing","Women's 57kg","Philippines",1979904,"Female",158,0,1992-04-11
"Gold Medal",2024-08-07,"Matt WEARN","Sailing","Men's Dinghy","Australia",1945990,"Male",0,0,1995-09-30
"Silver Medal",2024-08-07,"Pavlos KONTIDES","Sailing","Men's Dinghy","Cyprus",1905347,"Male",0,0,1990-02-11
"Bronze Medal",2024-08-07,"Stefano PESCHIERA","Sailing","Men's Dinghy","Peru",1944316,"Male",0,0,1995-01-16
"Gold Medal",2024-08-07,"Marit BOUWMEESTER","Sailing","Women's Dinghy","Netherlands",1970500,"Female",0,0,1988-06-17
"Silver Medal",2024-08-07,"Anne-Marie RINDOM","Sailing","Women's Dinghy","Denmark",1895121,"Female",0,0,1991-06-14
"Bronze Medal",2024-08-07,"Line Flem HOEST","Sailing","Women's Dinghy","Norway",1878602,"Female",0,0,1995-11-10
"Gold Medal",2024-08-07,"Keegan PALMER","Skateboarding","Men's Park","Australia",1946074,"Male",0,0,2003-03-13
"Silver Medal",2024-08-07,"Tom SCHAAR","Skateboarding","Men's Park","United States",1944247,"Male",0,0,1999-09-14
"Bronze Medal",2024-08-07,"Augusto AKIO","Skateboarding","Men's Park","Brazil",1955669,"Male",0,0,2000-12-12
"Gold Medal",2024-08-07,"Aleksandra MIROSLAW","Sport Climbing","Women's Speed","Poland",1563327,"Female",162,0,1994-02-02
"Silver Medal",2024-08-07,"DENG Lijuan","Sport Climbing","Women's Speed","China",1913702,"Female",163,0,2000-05-12
"Bronze Medal",2024-08-07,"Aleksandra KALUCKA","Sport Climbing","Women's Speed","Poland",1563321,"Female",164,0,2001-12-25
"Gold Medal",2024-08-07,"PARK Taejoon","Taekwondo","Men -58kg","Korea",1904040,"Male",0,0,2004-06-06
"Silver Medal",2024-08-07,"Gashim MAGOMEDOV","Taekwondo","Men -58kg","Azerbaijan",1946883,"Male",0,0,1999-09-22
"Bronze Medal",2024-08-07,"Cyrian RAVET","Taekwondo","Men -58kg","France",1893274,"Male",0,0,2002-09-05
"Bronze Medal",2024-08-07,"Mohamed Khalil JENDOUBI","Taekwondo","Men -58kg","Tunisia",1947736,"Male",0,0,2002-06-01
"Gold Medal",2024-08-07,"Panipak WONGPATTANAKIT","Taekwondo","Women -49kg","Thailand",1902841,"Female",0,0,1997-08-08
"Silver Medal",2024-08-07,"GUO Qing","Taekwondo","Women -49kg","China",1910372,"Female",0,0,2000-05-16
"Bronze Medal",2024-08-07,"Mobina NEMATZADEH","Taekwondo","Women -49kg","IR Iran",1536064,"Female",0,0,2005-05-17
"Bronze Medal",2024-08-07,"Lena STOJKOVIC","Taekwondo","Women -49kg","Croatia",1569986,"Female",0,0,2002-01-03
"Gold Medal",2024-08-07,"LI Fabin","Weightlifting","Men's 61kg","China",1918372,"Male",0,0,1993-01-15
"Silver Medal",2024-08-07,"Theerapong SILACHAI","Weightlifting","Men's 61kg","Thailand",1898059,"Male",0,0,2003-11-19
"Bronze Medal",2024-08-07,"Hampton MORRIS","Weightlifting","Men's 61kg","United States",1917153,"Male",0,0,2004-02-17
"Gold Medal",2024-08-07,"HOU Zhihui","Weightlifting","Women's 49kg","China",1918377,"Female",0,0,1997-03-18
"Silver Medal",2024-08-07,"Mihaela Valentina CAMBEI","Weightlifting","Women's 49kg","Romania",1550148,"Female",0,0,2002-11-18
"Bronze Medal",2024-08-07,"Surodchana KHAMBAO","Weightlifting","Women's 49kg","Thailand",1898024,"Female",0,0,1999-12-23
"Gold Medal",2024-08-07,"KUSAKA Nao","Wrestling","Men's Greco-Roman 77kg","Japan",1939692,"Male",0,0,2000-11-28
"Silver Medal",2024-08-07,"Demeu ZHADRAYEV","Wrestling","Men's Greco-Roman 77kg","Kazakhstan",1958652,"Male",0,0,1989-11-02
"Bronze Medal",2024-08-07,"Malkhas AMOYAN","Wrestling","Men's Greco-Roman 77kg","Armenia",1532873,"Male",0,0,1999-01-22
"Bronze Medal",2024-08-07,"Akzhol MAKHMUDOV","Wrestling","Men's Greco-Roman 77kg","Kyrgyzstan",1566627,"Male",0,0,1999-04-15
"Gold Medal",2024-08-07,"Mohammadhadi SARAVI","Wrestling","Men's Greco-Roman 97kg","IR Iran",1544897,"Male",0,0,1998-01-06
"Silver Medal",2024-08-07,"Artur ALEKSANYAN","Wrestling","Men's Greco-Roman 97kg","Armenia",1532872,"Male",0,0,1991-10-21
"Bronze Medal",2024-08-07,"Gabriel Alejandro ROSILLO KINDELAN","Wrestling","Men's Greco-Roman 97kg","Cuba",1571504,"Male",0,0,1999-01-04
"Bronze Medal",2024-08-07,"Uzur DZHUZUPBEKOV","Wrestling","Men's Greco-Roman 97kg","Kyrgyzstan",1566601,"Male",0,0,1996-04-12
"Gold Medal",2024-08-07,"Sarah Ann HILDEBRANDT","Wrestling","Women's Freestyle 50kg","United States",1955373,"Female",0,0,1993-09-23
"Silver Medal",2024-08-07,"Yusneylis GUZMAN LOPEZ","Wrestling","Women's Freestyle 50kg","Cuba",1571747,"Female",0,0,1996-08-08
"Bronze Medal",2024-08-07,"SUSAKI Yui","Wrestling","Women's Freestyle 50kg","Japan",1939712,"Female",0,0,1999-06-30
"Bronze Medal",2024-08-07,"FENG Ziqi","Wrestling","Women's Freestyle 50kg","China",1920000,"Female",0,0,1999-06-29
"Gold Medal",2024-08-08,"Grant HOLLOWAY","Athletics","Men's 110m Hurdles","United States",1960961,"Male",187,0,1997-11-19
"Silver Medal",2024-08-08,"Daniel ROBERTS","Athletics","Men's 110m Hurdles","United States",1965223,"Male",185,0,1997-11-13
"Bronze Medal",2024-08-08,"Rasheed BROADBELL","Athletics","Men's 110m Hurdles","Jamaica",1901251,"Male",186,0,2000-08-13
"Gold Medal",2024-08-08,"Letsile TEBOGO","Athletics","Men's 200m","Botswana",1936983,"Male",184,0,2003-06-07
"Silver Medal",2024-08-08,"Kenneth BEDNAREK","Athletics","Men's 200m","United States",1960659,"Male",187,0,1998-10-14
"Bronze Medal",2024-08-08,"Noah LYLES","Athletics","Men's 200m","United States",1960173,"Male",177,0,1997-07-18
"Gold Medal",2024-08-08,"Arshad NADEEM","Athletics","Men's Javelin Throw","Pakistan",1878563,"Male",190,0,1997-01-02
"Silver Medal",2024-08-08,"Neeraj CHOPRA","Athletics","Men's Javelin Throw","India",1550250,"Male",186,0,1997-12-24
"Bronze Medal",2024-08-08,"Anderson PETERS","Athletics","Men's Javelin Throw","Grenada",1573418,"Male",185,0,1997-10-21
"Gold Medal",2024-08-08,"Sydney McLAUGHLIN-LEVRONE","Athletics","Women's 400m Hurdles","United States",1965308,"Female",175,0,1999-08-07
"Silver Medal",2024-08-08,"Anna COCKRELL","Athletics","Women's 400m Hurdles","United States",1960581,"Female",180,0,1997-08-28
"Bronze Medal",2024-08-08,"Femke BOL","Athletics","Women's 400m Hurdles","Netherlands",1972078,"Female",180,0,2000-02-23
"Gold Medal",2024-08-08,"Tara DAVIS-WOODHALL","Athletics","Women's Long Jump","United States",1960711,"Female",160,0,1999-05-20
"Silver Medal",2024-08-08,"Malaika MIHAMBO","Athletics","Women's Long Jump","Germany",1920175,"Female",171,0,1994-02-03
"Bronze Medal",2024-08-08,"Jasmine MOORE","Athletics","Women's Long Jump","United States",1965250,"Female",172,0,2001-05-01
"Gold Medal",2024-08-08,"Hasanboy DUSMATOV","Boxing","Men's 51kg","Uzbekistan",1556045,"Male",156,0,1993-06-24
"Silver Medal",2024-08-08,"Billal BENNAMA","Boxing","Men's 51kg","France",1879110,"Male",178,0,1998-06-14
"Bronze Medal",2024-08-08,"Charlie SENIOR","Boxing","Men's 57kg","Australia",1940136,"Male",178,0,2001-11-20
"Bronze Medal",2024-08-08,"Javier IBANEZ DIAZ","Boxing","Men's 57kg","Bulgaria",1555185,"Male",165,0,1996-07-14
"Gold Medal",2024-08-08,"CHANG Yuan","Boxing","Women's 54kg","China",1926832,"Female",165,0,1997-06-24
"Silver Medal",2024-08-08,"Hatice AKBAS","Boxing","Women's 54kg","Türkiye",1568186,"Female",172,0,2001-06-24
"Bronze Medal",2024-08-08,"Caitlin PARKER","Boxing","Women's 75kg","Australia",1940134,"Female",175,0,1996-04-17
"Gold Medal",2024-08-08,"Benjamin THOMAS","Cycling Track","Men's Omnium","France",1895717,"Male",0,0,1995-09-12
"Silver Medal",2024-08-08,"Iuri LEITAO","Cycling Track","Men's Omnium","Portugal",1933816,"Male",0,0,1998-07-03
"Bronze Medal",2024-08-08,"Fabio van den BOSSCHE","Cycling Track","Men's Omnium","Belgium",1915370,"Male",0,0,2000-09-21
"Gold Medal",2024-08-08,"Ellesse ANDREWS","Cycling Track","Women's Keirin","New Zealand",1945040,"Female",0,0,1999-12-31
"Silver Medal",2024-08-08,"Hetty van de WOUW","Cycling Track","Women's Keirin","Netherlands",1969180,"Female",0,0,1998-05-29
"Bronze Medal",2024-08-08,"Emma FINUCANE","Cycling Track","Women's Keirin","Great Britain",1912522,"Female",0,0,2002-12-22
"Gold Medal",2024-08-08,"XIE Siyi","Diving","Men's 3m Springboard","China",1901550,"Male",0,0,1996-03-28
"Silver Medal",2024-08-08,"WANG Zongyuan","Diving","Men's 3m Springboard","China",1901549,"Male",0,0,2001-10-24
"Bronze Medal",2024-08-08,"Osmar OLVERA IBARRA","Diving","Men's 3m Springboard","Mexico",1535349,"Male",0,0,2004-06-05
"Gold Medal",2024-08-08,"Sharon van ROUWENDAAL","Marathon Swimming","Women's 10km","Netherlands",1972515,"Female",0,0,1993-09-09
"Gold Medal",2024-08-08,"Eleanor ALDRIDGE","Sailing","Women's Kite","Great Britain",1899728,"Female",0,0,1996-12-29
"Silver Medal",2024-08-08,"Lauriane NOLOT","Sailing","Women's Kite","France",1559512,"Female",0,0,1998-12-09
"Bronze Medal",2024-08-08,"Annelous LAMMERTS","Sailing","Women's Kite","Netherlands",1970517,"Female",0,0,1993-11-01
"Gold Medal",2024-08-08,"Veddriq LEONARDO","Sport Climbing","Men's Speed","Indonesia",1940329,"Male",162,0,1997-03-11
"Silver Medal",2024-08-08,"WU Peng","Sport Climbing","Men's Speed","China",1913699,"Male",172,0,2002-10-15
"Bronze Medal",2024-08-08,"Sam WATSON","Sport Climbing","Men's Speed","United States",1950309,"Male",180,0,2006-02-27
"Gold Medal",2024-08-08,"Ulugbek RASHITOV","Taekwondo","Men -68kg","Uzbekistan",1887714,"Male",0,0,2002-03-23
"Silver Medal",2024-08-08,"Zaid KAREEM","Taekwondo","Men -68kg","Jordan",1537401,"Male",0,0,2001-06-19
"Bronze Medal",2024-08-08,"LIANG Yushuai","Taekwondo","Men -68kg","China",1910367,"Male",0,0,2000-09-10
"Bronze Medal",2024-08-08,"Edival PONTES","Taekwondo","Men -68kg","Brazil",1955815,"Male",0,0,1997-10-11
"Gold Medal",2024-08-08,"KIM Yujin","Taekwondo","Women -57kg","Korea",1904038,"Female",0,0,2000-10-17
"Silver Medal",2024-08-08,"Nahid KIYANICHANDEH","Taekwondo","Women -57kg","IR Iran",1536067,"Female",0,0,1998-08-01
"Bronze Medal",2024-08-08,"Skylar PARK","Taekwondo","Women -57kg","Canada",1966505,"Female",0,0,1999-06-06
"Bronze Medal",2024-08-08,"Alizadeh KIMIA","Taekwondo","Women -57kg","Bulgaria",2493835,"Female",0,0,1998-07-10
"Gold Medal",2024-08-08,"Rizki JUNIANSYAH","Weightlifting","Men's 73kg","Indonesia",1941786,"Male",0,0,2003-06-17
"Silver Medal",2024-08-08,"Weeraphon WICHUMA","Weightlifting","Men's 73kg","Thailand",1898067,"Male",0,0,2004-08-10
"Bronze Medal",2024-08-08,"Bozhidar Dimitrov ANDREEV","Weightlifting","Men's 73kg","Bulgaria",1902787,"Male",0,0,1997-01-17
"Gold Medal",2024-08-08,"LUO Shifang","Weightlifting","Women's 59kg","China",1918379,"Female",0,0,2001-04-02
"Silver Medal",2024-08-08,"Maude CHARRON","Weightlifting","Women's 59kg","Canada",1965815,"Female",0,0,1993-04-28
"Bronze Medal",2024-08-08,"KUO Hsing-Chun","Weightlifting","Women's 59kg","Chinese Taipei",1569563,"Female",0,0,1993-11-26
"Gold Medal",2024-08-08,"Saeid ESMAEILI LEIVESI","Wrestling","Men's Greco-Roman 67kg","IR Iran",1544928,"Male",0,0,2003-07-15
"Silver Medal",2024-08-08,"Parviz NASIBOV","Wrestling","Men's Greco-Roman 67kg","Ukraine",1550119,"Male",0,0,1998-08-18
"Bronze Medal",2024-08-08,"Hasrat JAFAROV","Wrestling","Men's Greco-Roman 67kg","Azerbaijan",1981760,"Male",0,0,2002-10-05
"Bronze Medal",2024-08-08,"Luis Alberto ORTA SANCHEZ","Wrestling","Men's Greco-Roman 67kg","Cuba",1571498,"Male",0,0,1994-08-22
"Gold Medal",2024-08-08,"Semen Sergeevich NOVIKOV","Wrestling","Men's Greco-Roman 87kg","Bulgaria",1559471,"Male",0,0,1997-12-11
"Silver Medal",2024-08-08,"Alireza MOHMADIPIANI","Wrestling","Men's Greco-Roman 87kg","IR Iran",1544880,"Male",0,0,2002-10-30
"Bronze Medal",2024-08-08,"Zhan BELENIUK","Wrestling","Men's Greco-Roman 87kg","Ukraine",1550116,"Male",0,0,1991-01-24
"Bronze Medal",2024-08-08,"Turpal Ali BISULTANOV","Wrestling","Men's Greco-Roman 87kg","Denmark",1879518,"Male",0,0,2001-10-14
"Gold Medal",2024-08-08,"FUJINAMI Akari","Wrestling","Women's Freestyle 53kg","Japan",1939711,"Female",0,0,2003-11-11
"Silver Medal",2024-08-08,"Lucia Yamileth YEPEZ GUZMAN","Wrestling","Women's Freestyle 53kg","Ecuador",1960228,"Female",0,0,2001-02-18
"Bronze Medal",2024-08-08,"CHOE Hyo Gyong","Wrestling","Women's Freestyle 53kg","DPR Korea",1980149,"Female",0,0,2000-05-10
"Bronze Medal",2024-08-08,"PANG Qianyu","Wrestling","Women's Freestyle 53kg","China",1920006,"Female",0,0,1996-11-13
"Gold Medal",2024-08-09,"Rai BENJAMIN","Athletics","Men's 400m Hurdles","United States",1960684,"Male",190,0,1997-07-27
"Silver Medal",2024-08-09,"Karsten WARHOLM","Athletics","Men's 400m Hurdles","Norway",1894095,"Male",188,0,1996-02-28
"Bronze Medal",2024-08-09,"Alison dos SANTOS","Athletics","Men's 400m Hurdles","Brazil",1951913,"Male",198,0,2000-06-03
"Gold Medal",2024-08-09,"Jordan Alejandro DIAZ FORTUN","Athletics","Men's Triple Jump","Spain",1904099,"Male",190,0,2001-02-23
"Silver Medal",2024-08-09,"Pedro PICHARDO","Athletics","Men's Triple Jump","Portugal",1938792,"Male",185,0,1993-06-30
"Bronze Medal",2024-08-09,"Andy DIAZ HERNANDEZ","Athletics","Men's Triple Jump","Italy",1552375,"Male",192,0,1995-12-25
"Gold Medal",2024-08-09,"Beatrice CHEBET","Athletics","Women's 10,000m","Kenya",1910560,"Female",152,0,2000-03-05
"Silver Medal",2024-08-09,"Nadia BATTOCLETTI","Athletics","Women's 10,000m","Italy",1552305,"Female",170,0,2000-04-12
"Bronze Medal",2024-08-09,"Sifan HASSAN","Athletics","Women's 10,000m","Netherlands",1972105,"Female",170,0,1993-01-01
"Gold Medal",2024-08-09,"Marileidy PAULINO","Athletics","Women's 400m","Dominican Republic",1899666,"Female",172,0,1996-10-25
"Silver Medal",2024-08-09,"Salwa Eid NASER","Athletics","Women's 400m","Bahrain",1915338,"Female",168,0,1998-05-23
"Bronze Medal",2024-08-09,"Natalia KACZMAREK","Athletics","Women's 400m","Poland",1573098,"Female",174,0,1998-01-17
"Gold Medal",2024-08-09,"Yemisi OGUNLEYE","Athletics","Women's Shot Put","Germany",1920183,"Female",185,0,1998-10-03
"Silver Medal",2024-08-09,"Maddison-Lee WESCHE","Athletics","Women's Shot Put","New Zealand",1926695,"Female",174,0,1999-06-13
"Bronze Medal",2024-08-09,"SONG Jiayuan","Athletics","Women's Shot Put","China",1919065,"Female",185,0,1997-09-15
"Gold Medal",2024-08-09,"Asadkhuja MUYDINKHUJAEV","Boxing","Men's 71kg","Uzbekistan",1556797,"Male",174,0,2001-05-08
"Silver Medal",2024-08-09,"Marco Alonso VERDE ALVAREZ","Boxing","Men's 71kg","Mexico",1535187,"Male",180,0,2002-02-11
"Gold Medal",2024-08-09,"Lazizbek MULLOJONOV","Boxing","Men's 92kg","Uzbekistan",1556860,"Male",192,0,1999-05-13
"Silver Medal",2024-08-09,"Loren Berto ALFONSO DOMINGUEZ","Boxing","Men's 92kg","Azerbaijan",1972343,"Male",189,0,1995-07-28
"Gold Medal",2024-08-09,"WU Yu","Boxing","Women's 50kg","China",1926833,"Female",160,0,1995-01-13
"Silver Medal",2024-08-09,"Buse Naz CAKIROGLU","Boxing","Women's 50kg","Türkiye",1568182,"Female",164,0,1996-05-26
"Gold Medal",2024-08-09,"Imane KHELIF","Boxing","Women's 66kg","Algeria",1540353,"Female",178,0,1999-05-02
"Silver Medal",2024-08-09,"YANG Liu","Boxing","Women's 66kg","China",1926827,"Female",178,0,1992-05-20
"Gold Medal",2024-08-09,"AMI","Breaking","B-Girls","Japan",1953038,"Female",0,0,1998-12-11
"Silver Medal",2024-08-09,"NICKA","Breaking","B-Girls","Lithuania",1924559,"Female",0,0,2007-06-08
"Bronze Medal",2024-08-09,"671","Breaking","B-Girls","China",1909907,"Female",0,0,2005-10-19
"Gold Medal",2024-08-09,"Martin FUKSA","Canoe Sprint","Men's Canoe Single 1000m","Czechia",1878716,"Male",0,0,1993-04-30
"Silver Medal",2024-08-09,"Isaquias QUEIROZ","Canoe Sprint","Men's Canoe Single 1000m","Brazil",1952595,"Male",0,0,1994-01-03
"Bronze Medal",2024-08-09,"Serghei TARNOVSCHI","Canoe Sprint","Men's Canoe Single 1000m","Republic of Moldova",1550295,"Male",0,0,1997-06-24
"Gold Medal",2024-08-09,"Harrie LAVREYSEN","Cycling Track","Men's Sprint","Netherlands",1969182,"Male",0,0,1997-03-14
"Silver Medal",2024-08-09,"Matthew RICHARDSON","Cycling Track","Men's Sprint","Australia",1940263,"Male",0,0,1999-04-17
"Bronze Medal",2024-08-09,"Jack CARLIN","Cycling Track","Men's Sprint","Great Britain",1912515,"Male",0,0,1997-04-23
"Gold Medal",2024-08-09,"CHEN Yiwen","Diving","Women's 3m Springboard","China",1901538,"Female",0,0,1999-06-15
"Silver Medal",2024-08-09,"Maddison KEENEY","Diving","Women's 3m Springboard","Australia",1940414,"Female",0,0,1996-05-23
"Bronze Medal",2024-08-09,"CHANG Yani","Diving","Women's 3m Springboard","China",1901539,"Female",0,0,2001-12-07
"Gold Medal",2024-08-09,"Kristof RASOVSZKY","Marathon Swimming","Men's 10km","Hungary",1909030,"Male",0,0,1997-03-27
"Gold Medal",2024-08-09,"Valentin BONTUS","Sailing","Men's Kite","Austria",1566437,"Male",0,0,2001-02-01
"Silver Medal",2024-08-09,"Toni VODISEK","Sailing","Men's Kite","Slovenia",1981549,"Male",0,0,2000-06-07
"Bronze Medal",2024-08-09,"Maximilian MAEDER","Sailing","Men's Kite","Singapore",1535852,"Male",0,0,2006-09-12
"Gold Medal",2024-08-09,"Toby ROBERTS","Sport Climbing","Men's Boulder & Lead","Great Britain",1544218,"Male",174,0,2005-03-15
"Silver Medal",2024-08-09,"ANRAKU Sorato","Sport Climbing","Men's Boulder & Lead","Japan",1892022,"Male",168,0,2006-11-14
"Bronze Medal",2024-08-09,"Jakob SCHUBERT","Sport Climbing","Men's Boulder & Lead","Austria",1560677,"Male",175,0,1990-12-31
"Gold Medal",2024-08-09,"Firas KATOUSSI","Taekwondo","Men -80kg","Tunisia",1947737,"Male",0,0,1995-09-06
"Silver Medal",2024-08-09,"Mehran BARKHORDARI","Taekwondo","Men -80kg","IR Iran",1536058,"Male",0,0,2000-07-26
"Bronze Medal",2024-08-09,"Simone ALESSIO","Taekwondo","Men -80kg","Italy",1929685,"Male",0,0,2000-04-14
"Bronze Medal",2024-08-09,"Edi HRNIC","Taekwondo","Men -80kg","Denmark",1914832,"Male",0,0,2003-12-26
"Gold Medal",2024-08-09,"Viviana MARTON","Taekwondo","Women -67kg","Hungary",1572318,"Female",0,0,2006-02-16
"Silver Medal",2024-08-09,"Aleksandra PERISIC","Taekwondo","Women -67kg","Serbia",1956372,"Female",0,0,2002-07-02
"Bronze Medal",2024-08-09,"Kristina TEACHOUT","Taekwondo","Women -67kg","United States",1930773,"Female",0,0,2005-09-13
"Bronze Medal",2024-08-09,"Sarah CHAARI","Taekwondo","Women -67kg","Belgium",1903284,"Female",0,0,2005-05-02
"Gold Medal",2024-08-09,"Karlos May NASAR","Weightlifting","Men's 89kg","Bulgaria",1903011,"Male",0,0,2004-05-12
"Silver Medal",2024-08-09,"Yeison LOPEZ","Weightlifting","Men's 89kg","Colombia",1543506,"Male",0,0,1999-09-01
"Bronze Medal",2024-08-09,"Antonino PIZZOLATO","Weightlifting","Men's 89kg","Italy",1568724,"Male",0,0,1996-08-20
"Gold Medal",2024-08-09,"Olivia REEVES","Weightlifting","Women's 71kg","United States",1917154,"Female",0,0,2003-04-19
"Silver Medal",2024-08-09,"Mari Leivis SANCHEZ","Weightlifting","Women's 71kg","Colombia",1543509,"Female",0,0,1991-10-08
"Bronze Medal",2024-08-09,"Angie Paola PALACIOS DAJOMES","Weightlifting","Women's 71kg","Ecuador",1940300,"Female",0,0,2000-09-12
"Gold Medal",2024-08-09,"HIGUCHI Rei","Wrestling","Men's Freestyle 57kg","Japan",1939714,"Male",0,0,1996-01-28
"Silver Medal",2024-08-09,"Spencer Richard LEE","Wrestling","Men's Freestyle 57kg","United States",1955415,"Male",0,0,1998-10-14
"Bronze Medal",2024-08-09,"Aman AMAN","Wrestling","Men's Freestyle 57kg","India",1931496,"Male",0,0,2003-07-16
"Bronze Medal",2024-08-09,"Gulomjon ABDULLAEV","Wrestling","Men's Freestyle 57kg","Uzbekistan",1562157,"Male",0,0,1998-11-11
"Gold Medal",2024-08-09,"Magomed Eldarovitch RAMAZANOV","Wrestling","Men's Freestyle 86kg","Bulgaria",1556873,"Male",0,0,1993-05-22
"Silver Medal",2024-08-09,"Hassan YAZDANICHARATI","Wrestling","Men's Freestyle 86kg","IR Iran",1544803,"Male",0,0,1994-12-26
"Bronze Medal",2024-08-09,"Aaron Marquel BROOKS","Wrestling","Men's Freestyle 86kg","United States",1955300,"Male",0,0,2000-06-15
"Bronze Medal",2024-08-09,"Dauren KURUGLIEV","Wrestling","Men's Freestyle 86kg","Greece",1963800,"Male",0,0,1992-07-12
"Gold Medal",2024-08-09,"SAKURAI Tsugumi","Wrestling","Women's Freestyle 57kg","Japan",1939710,"Female",0,0,2001-09-03
"Silver Medal",2024-08-09,"Anastasia NICHITA","Wrestling","Women's Freestyle 57kg","Republic of Moldova",1572203,"Female",0,0,1999-02-19
"Bronze Medal",2024-08-09,"Helen Louise MAROULIS","Wrestling","Women's Freestyle 57kg","United States",1955426,"Female",0,0,1991-09-19
"Bronze Medal",2024-08-09,"HONG Kexin","Wrestling","Women's Freestyle 57kg","China",1920010,"Female",0,0,2003-01-06
"Gold Medal",2024-08-10,"Jakob INGEBRIGTSEN","Athletics","Men's 5000m","Norway",1898250,"Male",187,0,2000-09-19
"Silver Medal",2024-08-10,"Ronald KWEMOI","Athletics","Men's 5000m","Kenya",1963077,"Male",176,0,1995-09-19
"Bronze Medal",2024-08-10,"Grant FISHER","Athletics","Men's 5000m","United States",1960959,"Male",177,0,1997-04-22
"Gold Medal",2024-08-10,"Emmanuel WANYONYI","Athletics","Men's 800m","Kenya",1910412,"Male",170,0,2004-08-01
